date,open,high,low,close,volume,market cap
2013-04-28,128.0001,128.0001,128.0001,128.0001,0.0,1418303508.0487516
2013-04-29,134.4444,135.98,132.1,134.21,0.0,1488338008.6936457
2013-04-30,134.444,147.488,134.0,144.54,0.0,1549500876.2569444
2013-05-01,144.0,146.93,134.05,139.0,0.0,1578684648.2083333
2013-05-02,139.0,139.89,107.72,116.99,0.0,1422546075.0972223
2013-05-03,116.38,125.6,92.2819,105.21,0.0,1236443772.328571
2013-05-04,106.25,108.128,79.1,97.75,0.0,1037536837.6631944
2013-05-05,98.1,115.0,92.5,112.5,0.0,1161080070.9409723
2013-05-06,112.9,118.8,107.143,115.91,0.0,1268310696.2587411
2013-05-07,115.98,124.663,106.64,112.3,0.0,1322216068.4097223
2013-05-08,112.25,113.444,97.7,111.5,0.0,1200047410.9756944
2013-05-09,109.6,115.78,109.6,113.566,0.0,1255949697.4097223
2013-05-10,113.2,113.46,109.26,112.67,0.0,1245372317.6347518
2013-05-11,112.799,122.0,111.551,117.2,0.0,1296978426.4076655
2013-05-12,117.7,118.679,113.01,115.243,0.0,1295632312.1241136
2013-05-13,115.64,117.449,113.435,115.0,0.0,1286251828.7770035
2013-05-14,114.82,118.699,114.5,117.98,0.0,1301411889.2013888
2013-05-15,117.98,119.8,110.25,111.5,0.0,1311537042.2951388
2013-05-16,111.4,115.81,103.5,114.22,0.0,1250200218.339161
2013-05-17,114.22,118.76,112.2,118.76,0.0,1282659394.651568
2013-05-18,118.21,125.3,116.571,123.015,0.0,1334833730.5347223
2013-05-19,123.5,125.25,122.3,123.498,0.0,1379235727.4375
2013-05-20,123.211,124.5,119.571,121.99,0.0,1368860919.662021
2013-05-21,122.5,123.621,120.12,122.0,0.0,1368271987.4236112
2013-05-22,122.02,123.0,121.21,122.88,0.0,1367163585.8194444
2013-05-23,122.89,124.001,122.0,123.889,0.0,1372542171.1701388
2013-05-24,123.8,126.934,123.1,126.7,0.0,1398746908.6550522
2013-05-25,126.3,133.85,125.719,133.2,0.0,1441256680.9444444
2013-05-26,133.1,133.219,128.9,131.98,0.0,1472858824.34375
2013-05-27,131.986,136.0,130.615,133.48,0.0,1493842936.8842106
2013-05-28,133.5,135.465,124.7,129.745,0.0,1488920278.8993056
2013-05-29,129.77,130.58,125.6,129.0,0.0,1439280236.6319444
2013-05-30,129.0,132.59,127.662,132.3,0.0,1454416206.8971632
2013-05-31,132.25,132.25,127.0,128.799,0.0,1463545477.8188152
2013-06-01,128.799,129.9,126.4,129.0,0.0,1443010699.756184
2013-06-02,128.815,129.78,127.199,129.3,0.0,1444664157.40625
2013-06-03,129.3,129.4,115.05,122.292,0.0,1384800050.8909774
2013-06-04,122.5,122.5,116.0,122.222,0.0,1343652162.5347223
2013-06-05,120.737,123.84,119.1,121.42,0.0,1366519793.8345587
2013-06-06,121.4,123.469,119.899,121.65,0.0,1366198056.90625
2013-06-07,121.9,123.1,117.25,118.0,0.0,1362952370.121951
2013-06-08,118.97,119.0,106.42,111.5,0.0,1285665765.9548612
2013-06-09,111.0,111.415,107.3,108.3,0.0,1230471192.25
2013-06-10,107.892,108.99,88.5,100.0,0.0,1126166925.7351916
2013-06-11,100.437,110.101,95.002,106.35,0.0,1177145220.3181818
2013-06-12,106.35,109.6,104.0,108.9,0.0,1204883955.108014
2013-06-13,109.0,111.787,106.734,108.15,0.0,1228302244.1701388
2013-06-14,108.776,110.3,100.53,104.0,0.0,1222677445.1358886
2013-06-15,103.949,104.7,98.0,99.9789,0.0,1148091963.794425
2013-06-16,100.0,103.7,98.0,99.9881,0.0,1135366605.9722223
2013-06-17,99.8,101.6,98.9466,99.51,0.0,1129685674.728223
2013-06-18,99.9,102.21,99.0,101.7,0.0,1141778807.5228071
2013-06-19,101.95,111.111,101.033,107.4,0.0,1188925051.6550522
2013-06-20,107.05,110.225,105.755,108.25,0.0,1218040099.7951388
2013-06-21,108.251,114.3,107.5,110.15,0.0,1246330944.9265735
2013-06-22,111.29,114.99,107.685,109.5,0.0,1251009495.6979167
2013-06-23,109.5,109.956,107.514,108.3,0.0,1229628096.9513888
2013-06-24,108.2,108.8,106.234,107.6,0.0,1217834976.968641
2013-06-25,107.9,108.334,100.98,102.737,0.0,1181220991.5243056
2013-06-26,102.09,106.47,101.01,103.95,0.0,1179374742.8854167
